Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,BGR,Individuals using the Internet (% of population),5.37092346908696,7.6122977487982,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.9799930506026,51.8999876658503,53.0615,55.49,56.6563,59.82554766,63.41010138,64.78201069118
Bahrain,BHR,Individuals using the Internet (% of population),6.15373254647607,15.0386342513918,18.0507208881153,21.5549449917804,21.4586805077435,21.3037335136591,28.2439524318043,32.91,51.95,53,55,76.9999665032303,88,90.0000397,90.5031334814656,93.4783011354165,97.9999807,95.87813575,98.6446725799886
"Bahamas, The",BHS,Individuals using the Internet (% of population),8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.7482028146963,72,76.92,78,80,85,
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),1.08296074971207,1.20052695129649,2.64826791361244,3.96503683387051,15.4689716227665,21.3267010007738,25.1223856852117,27.92,34.66,37.74,42.75,43.8876865285545,45.0645004334763,48.5213141734421,49.9177324336354,52.6,60.25653543,64.89197728,70.1201350394885
Belarus,BLR,Individuals using the Internet (% of population),1.86039812615388,4.30061602151712,8.95097131467325,,,,16.2,19.7,23,27.43,31.8,39.6488956598961,46.91,54.17,59.02,62.230360906803,71.11304576,74.43644541,79.1298866919307
Belize,BLZ,Individuals using the Internet (% of population),5.96383530272428,,5.68425121358763,,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.589999999835,44.57574032,47.0826258036364,
Bermuda,BMU,Individuals using the Internet (% of population),42.9498600152711,47.5096998970623,52.0315973700393,56.5220121836337,60.9908670086326,65.4470657898838,69.8996551617012,74.3505940302669,82.3,83.25,84.21,88.336,91.2993045243401,95.3,96.8,98.3236096537251,98,98.37,
Bolivia,BOL,Individuals using the Internet (% of population),1.4427635847914,2.1204625341365,3.11719294696997,3.50859640072336,4.43992460120042,5.22758395663196,6.20067125473576,10.4992443168903,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56227065,39.6975146032685,43.8322760674661,44.2861421607887
Brazil,BRA,Individuals using the Internet (% of population),2.87068515854108,4.52849486902851,9.14942508560748,13.2075861035303,19.073672274442,21.022747248827,28.1783801797929,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.5510018796392,58.3279517340924,60.87254007,67.47128452,70.4342825404361
Barbados,BRB,Individuals using the Internet (% of population),3.97367835457927,11.9364503383984,27.836322424146,39.6896271159532,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.5493978888735,81.7607783931079,
